Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
1998,NL,Jermaine Allensworth,26,PIT,69,261,233,30,72,13,3,3,24,17,43,0.309,0.372,0.429,0.801,100
1998,NL,Jermaine Allensworth,26,NYM,34,57,54,9,11,2,0,2,4,2,16,0.204,0.246,0.352,0.597,19
1998,NL,Moises Alou,31,HOU,159,679,584,104,182,34,5,38,124,84,87,0.312,0.399,0.582,0.981,340
1998,NL,Ruben Amaro,33,PHI,92,117,107,7,20,5,0,1,10,6,15,0.187,0.224,0.262,0.486,28
1998,NL,Brian Anderson,26,ARI,33,75,66,6,7,0,0,0,0,3,19,0.106,0.145,0.106,0.251,7
1998,NL,Marlon Anderson,24,PHI,17,45,43,4,14,3,0,1,4,1,6,0.326,0.333,0.465,0.798,20
1998,NL,Shane Andrews,26,MON,150,559,492,48,117,30,1,25,69,58,137,0.238,0.314,0.455,0.769,224
1998,NL,Alex Arias,30,PHI,56,149,133,17,39,8,0,1,16,13,18,0.293,0.358,0.376,0.734,50
1998,NL,George Arias,26,SDP,20,41,36,4,7,1,1,1,4,3,16,0.194,0.293,0.361,0.654,13
1998,NL,Andy Ashby,30,SDP,32,83,72,1,8,2,0,0,2,2,35,0.111,0.135,0.139,0.274,10
1998,NL,Pedro Astacio,29,COL,34,75,62,4,8,2,0,0,3,0,21,0.129,0.156,0.161,0.318,10
1998,NL,Rich Aurilia,26,SFG,122,453,413,54,110,27,2,9,49,31,62,0.266,0.319,0.407,0.726,168
1998,NL,Brad Ausmus,29,HOU,128,472,412,62,111,10,4,6,45,53,60,0.269,0.356,0.357,0.713,147
1998,NL,Manny Aybar,26,STL,18,28,27,4,6,0,0,1,3,0,9,0.222,0.222,0.333,0.556,9
1998,NL,Carlos Baerga,29,NYM,147,551,511,46,136,27,1,7,53,24,55,0.266,0.303,0.364,0.667,186
1998,NL,Jeff Bagwell,30,HOU,147,661,540,124,164,33,1,34,111,109,90,0.304,0.424,0.557,0.981,301
1998,NL,Cory Bailey,27,SFG,5,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,NL,Jeff Ball,29,SFG,2,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1
1998,NL,Brian Banks,27,MIL,24,28,24,3,7,2,0,1,5,4,7,0.292,0.393,0.5,0.893,12
1998,NL,Willie Banks,29,ARI,31,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,NL,Michael Barrett,21,MON,8,27,23,3,7,2,0,1,2,3,6,0.304,0.407,0.522,0.929,12
1998,NL,Manuel Barrios,23,FLA,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,NL,Manuel Barrios,23,LAD,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,NL,Jeff Barry,28,COL,15,37,34,4,6,1,0,0,2,2,11,0.176,0.216,0.206,0.422,7
1998,NL,Jason Bates,27,COL,53,82,74,10,14,3,0,0,3,8,21,0.189,0.268,0.23,0.498,17
1998,NL,Miguel Batista,27,MON,51,34,32,0,0,0,0,0,0,0,21,0,0,0,0,0
1998,NL,Tony Batista,24,ARI,106,318,293,46,80,16,1,18,41,18,52,0.273,0.318,0.519,0.836,152
1998,NL,Danny Bautista,26,ATL,82,156,144,17,36,11,0,3,17,7,21,0.25,0.281,0.389,0.67,56
1998,NL,Rod Beck,29,CHC,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,NL,Rich Becker,26,NYM,49,123,100,15,19,4,2,3,10,21,42,0.19,0.331,0.36,0.691,36
1998,NL,Matt Beech,26,PHI,20,39,33,2,5,0,0,0,2,0,10,0.152,0.152,0.152,0.303,5
1998,NL,Stan Belinda,31,CIN,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,NL,David Bell,25,STL,4,9,9,0,2,1,0,0,0,0,3,0.222,0.222,0.333,0.556,3
1998,NL,Derek Bell,29,HOU,156,695,630,111,198,41,2,22,108,51,126,0.314,0.364,0.49,0.855,309
1998,NL,Jay Bell,32,ARI,155,645,549,79,138,29,5,20,67,81,129,0.251,0.353,0.432,0.785,237
1998,NL,Rafael Belliard,36,ATL,7,20,20,1,5,0,0,0,1,0,1,0.25,0.25,0.25,0.5,5
1998,NL,Ronnie Belliard,23,MIL,8,5,5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1
1998,NL,Rigo Beltran,28,NYM,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,NL,Adrian Beltre,19,LAD,77,214,195,18,42,9,0,7,22,14,37,0.215,0.278,0.369,0.648,72
1998,NL,Marvin Benard,27,SFG,121,327,286,41,92,21,1,3,36,34,39,0.322,0.396,0.434,0.83,124
1998,NL,Andy Benes,30,ARI,33,82,65,8,11,3,0,1,3,6,28,0.169,0.25,0.262,0.512,17
1998,NL,Yamil Benitez,25,ARI,91,225,206,17,41,7,1,9,30,14,46,0.199,0.262,0.374,0.636,77
1998,NL,Gary Bennett,26,PHI,9,37,31,4,9,0,0,0,3,5,5,0.29,0.378,0.29,0.669,9
1998,NL,Shayne Bennett,26,MON,58,8,6,0,0,0,0,0,0,1,1,0,0.143,0,0.143,0
1998,NL,Jason Bere,27,CIN,9,15,14,0,0,0,0,0,0,1,5,0,0.067,0,0.067,0
