Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
2004,NL,Barry Bonds,39,SFG,147,617,373,129,135,27,3,45,101,232,41,0.362,0.609,0.812,1.422,303
2004,NL,Milton Bradley,26,LAD,141,597,516,72,138,24,0,19,67,71,123,0.267,0.362,0.424,0.786,219
2004,NL,Jeromy Burnitz,35,COL,150,606,540,94,153,30,4,37,110,58,124,0.283,0.356,0.559,0.916,302
2004,NL,Mike Cameron,31,NYM,140,562,493,76,114,30,1,30,76,57,143,0.231,0.319,0.479,0.798,236
2004,NL,Roger Cedeno,29,STL,95,223,200,22,53,9,2,3,23,19,41,0.265,0.327,0.375,0.702,75
2004,NL,Carl Everett,33,MON,39,141,127,8,32,10,0,2,14,8,19,0.252,0.319,0.378,0.697,48
2004,NL,Cliff Floyd,31,NYM,113,457,396,55,103,26,0,18,63,47,103,0.26,0.352,0.462,0.814,183
2004,NL,Nomar Garciaparra,30,CHC,43,185,165,28,49,14,0,4,20,16,14,0.297,0.364,0.455,0.819,75
2004,NL,Luis Gonzalez,36,ARI,105,451,379,69,98,28,5,17,48,68,58,0.259,0.373,0.493,0.866,187
2004,NL,Luis Gonzalez,25,COL,102,351,322,42,94,17,2,12,40,15,67,0.292,0.33,0.469,0.799,151
2004,NL,Shawn Green,31,LAD,157,671,590,92,157,28,1,28,86,71,114,0.266,0.352,0.459,0.811,271
2004,NL,Todd Helton,30,COL,154,683,547,115,190,49,2,32,96,127,72,0.347,0.469,0.62,1.088,339
2004,NL,Shea Hillenbrand,28,ARI,148,604,562,68,174,36,3,15,80,24,49,0.31,0.348,0.464,0.812,261
2004,NL,Geoff Jenkins,29,MIL,157,681,617,88,163,36,6,27,93,46,152,0.264,0.325,0.473,0.798,292
2004,NL,Ryan Klesko,33,SDP,127,480,402,58,117,32,2,9,66,73,67,0.291,0.399,0.448,0.847,180
2004,NL,Derrek Lee,28,CHC,161,688,605,90,168,39,1,32,98,68,128,0.278,0.356,0.504,0.86,305
2004,NL,Paul Lo Duca,32,LAD,91,381,349,41,105,18,1,10,49,22,27,0.301,0.351,0.444,0.795,155
2004,NL,Paul Lo Duca,32,FLA,52,213,186,27,48,11,1,3,31,14,22,0.258,0.314,0.376,0.69,70
2004,NL,Javier Lopez,26,COL,58,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,NL,Raul Mondesi,33,PIT,26,110,99,8,28,8,0,2,14,11,27,0.283,0.355,0.424,0.779,42
2004,NL,Corey Patterson,24,CHC,157,687,631,91,168,33,6,24,72,45,168,0.266,0.32,0.452,0.771,285
2004,NL,Aramis Ramirez,26,CHC,145,606,547,99,174,32,1,36,103,49,62,0.318,0.373,0.578,0.951,316
2004,NL,Richie Sexson,29,ARI,23,104,90,20,21,4,0,9,23,14,21,0.233,0.337,0.578,0.914,52
2004,NL,Sammy Sosa,35,CHC,126,539,478,69,121,21,0,35,80,56,133,0.253,0.332,0.517,0.849,247
2004,NL,Craig Wilson,27,PIT,155,644,561,97,148,35,5,29,82,50,169,0.264,0.354,0.499,0.853,280
2005,AL,Brent Abernathy,27,MIN,24,79,67,5,16,1,0,1,6,7,9,0.239,0.316,0.299,0.614,20
2005,AL,Sandy Alomar,39,TEX,46,137,128,11,35,7,0,0,14,5,12,0.273,0.306,0.328,0.634,42
